"name","type","mana_cost","power_toughness","abilities","flavor_text","rarity"
"Dr. Zachary Kanzler, Esq.","Legendary Creature — Human Engineer Horror","{1}{W}{U}{B}","5/5","Deathtouch, protection from Humans {W}{B}: can be paid with either {W} or 2 features. Whenever you deploy to production, put a +1/+1 counter on Dr. Zachary Kanzler, Esq., and draw a card. Whenever an opponent deploys to production, they lose 2 customers.","""YOU JUST GOT — ZACKED.""","Mythic Rare"
"Mike, Simulation Architect","Legendary Creature — Human Engineer Cyborg","{R}{G}{U}","4/4","When Mike, Simulation Architect enters the battlefield, create two 1/1 blue QA Engineer artifact creature tokens with vigilance. {R}{U}, Sacrifice an engineer: Choose one — Draw a card. Gain 2 customers. QA Engineers you control get +1/+1 until end of turn. {G}{U}, {T}: Put two 1/1 blue QA Engineer artifact creature tokens with vigilance onto the battlefield.","""Get Scope. Ownership. Inspect and Simplify. Be Agile.""","Mythic Rare"
"QA Engineer","Token Artifact Creature — QA Engineer","","1/1","Vigilance","","Token"
"Jordan, Integration Captain","Legendary Creature — Human Engineer Pizza","{1}{R}{W}","3/2","Ward {2}, protection from Aharon, Feature Deployment — Whenever another engineer you control deploys to production, Jordan, Integration Captain ships 3 features.","He has no pizza experience.","Mythic Rare"
"The Kewp","Legendary Land","","","{T}: Add {G} for each creature you control.","""Here hatched the first fledgling of automation. Here the last manual task will fall."" — Aharon, King of the Kewp","Rare"
"Willis, Architect of Automation","Legendary Creature — Human Engineer Hacker","{2}{B}{R}{W}","5/4","Haste, At the beginning of your upkeep, create a 4/4 red Engine Pod artifact creature token with haste. Sacrifice it at the beginning of the next end step.","echo 'ALL: ALL' | sudo tee /etc/hosts.deny > /dev/null","Mythic Rare"
"Robo-Rewsty","Artifact Creature — AI Golem","{12}","11/11","First strike, vigilance, trample, indestructible","Manual processes are for the birds.","Rare"
"Skyline Chili Franchise","Land","","","Skyline Chili Franchise enters the battlefield tapped., {T}: Create a Food token.","","Common"
"Martyn, Mystic Manager","Legendary Creature — Human PM Techie","{3}{W}","2/4","Engineers you control have indestructible. Other creatures you control have vigilance., {1}{W}{T}: Create a 1/1 colorless Junior PM artifact creature token.","""For the users, by the users.""","Rare"
"Junior PM","Token Artifact Creature — Junior PM","","1/1","","","Token"
"Hildebeast","Legendary Creature — Human Beast","{1}{R}","4/3","Trample, Menace (This creature can't be blocked except by two or more creatures.)","In the heart of the Ontarian wilderness, the Hildebeast prowls, a guardian spirit clad in toques and Timbits.","Rare"
"Flow Conference","Legendary Land","","","At the beginning of your upkeep, if you control three or more techs, you gain 1 customer., {T}: Add {C}., {4}, {T}, Sacrifice Flow Conference: Search your library for a founder card, reveal it, put it into your hand, then shuffle.","","Rare"
"Adam, Archmage of Automation","Legendary Creature — Human Engineer Wizard","{W}{U}{B}","5/6","Menace (This creature can't be blocked except by two or more creatures.), Artifact creatures you control have menace., At the beginning of your end step, create a 0/0 colorless AI Construct artifact creature token with ""This creature gets +1/+1 for each AI you control.""","""How about, get fucked.""","Mythic Rare"
"Riggs, the Stabber","Legendary Creature — Human Tech","{3}{B}","4/5","Deathtouch, Whenever Riggs, the Stabber enters the battlefield or attacks, create two 2/2 colorless Security Engineer human creature tokens.","""Would be a shame if someone enabled 2-Factor authentication ... and even more tragic if they didn't survive to appreciate it.""","Rare"
"Glint the Unthinkable","Instant","{B}","","Destroy target creature.","In a moment of reckless curiosity, Danial, the Poutine Provocateur, dared to capture the unspeakable.","Common"
"Adam, IT Apprentice","Legendary Creature — Human Tech","{1}{U}","2/2","{T}: Draw a card, then discard a card., Whenever you draw or discard a card, create a 1/1 blue Level-1 Tech human creature token.","Confound their politics, Frustrate their knavish tricks, Oh Thee our hopes we fix, God, save us all!","Uncommon"
"Level-1 Tech","Token Creature — Human Level-1 Tech","","1/1","","","Token"
"Ashley, Director of Defense","Legendary Creature — Human CS Tech","1WU","2/3","Rapid Response — You may cast this card any time you could cast an instant., When Ashley, Director of Defense enters the battlefield, creatures you control gain indestructible until end of turn.","Ah, oops. Sorry, let me fix that for you. Sorry!","mythic"
"Danial, Curling Champion","Legendary Creature — Human PM Athlete","1R","3/1","When Danial, Curling Champion enters the battlefield, choose one —, Create a 1/1 white Sentry human creature token., Create a Treasure token.","Do you know what they call someone from Winnipeg?","mythic"
"Ryan, Onboarding Specialist","Legendary Creature — Human CS Tech","1UU","1/3","When Ryan, Onboarding Specialist enters the battlefield, gain 1 customer., Draw a card, then discard a card.","So can I work a four-day workweek but get paid for five?","mythic"
"Invoke Hospitality","Sorcery","1G","","Put a creature from your hand onto the battlefield.","There's always room for one more, eh?","rare"
"Manitoban Matriarch","Legendary Creature — Elder Human","GWB","1/1","Whenever another creature enters the battlefield under your control, create a 1/1 white Sentry human creature token and add GWB.","It was a revelation to Danial to see the vast network of connections his mom had across the province.","mythic"
"Cluck University North","Legendary Land","","","When Cluck University North enters the battlefield, you may return a Professor card from your graveyard to your hand., Add W.","At Cluck U North, even the chickens say 'sorry' when a workflow fails.","rare"
"Sentry","Token Creature — Human Sentry","","1/1","","","token"
"Aharon, Florida Man","Legendary Creature — Human Shaman","1GG","3/4","Whenever Aharon, Florida Man deploys to production, you may discard a card. If you do, create a 3/3 green Alligator creature token with trample.","In Tampa's murky swamps, the elusive Florida Man is as rare a find as soft water.","mythic"
"Aharon, Startup Investor","Legendary Creature — Human Investor","1UWG","5/5","When Aharon, Startup Investor enters the battlefield, create a 1/1 colorless human VC investor creature token., Whenever an engineer or investor enters the battlefield, draw a card.","""Hey Nick, wanna be the CTO of my new soundboards-as-a-service company?""","mythic"
"Aharon, Unix Administrator","Legendary Creature — Human Tech","2UB","2/4","When Aharon, Unix Administrator enters the battlefield, look at the top three cards of your library. Put one into your hand and the rest into your graveyard.","""Hey Allen, before you start, did you consider whether we should write the workflow processing engine in Perl?""","mythic"
"Acquired Cybersecurity Startup","Land","","","Add C.","The servers still chirp, but now it's just the echo of data long flown the coop.","rare"
"Drama-Free Friday","Enchantment","1WU","","At the beginning of your end step, if no spells were cast this turn, draw a card., Sacrifice Drama-Free Friday: Opponents can't cast spells during their next turn.","""Save your drama for Monday, people.""","rare"
"Interstate 4","Legendary Land","","","Interstate 4 enters the battlefield tapped., Tap: Add R., RR, Tap: Target creature gains haste until end of turn.","""Stay off I-4."" —Aharon, Florida Man","rare"
"Alligator","Token Creature — Alligator","","3/3","Trample","Interior crocodile alligator
I drive a Chevrolet movie theater","token"
